No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur,pca1,pca2,dbscanonly_kluster,PeningkatanDBSCAN_3klaster,skor_akreditasi_n,siswa_total_n,jumlah_ruangan_n,wilayah_total_n,daya_listrik_n,jumlah_guru_n,staf_total_n,skor_rekomendasi,peringkat
7790,SMP NEGERI 1 TELLU SIATTINGE,SMP,Negeri,400,26,7,20,1300,3729,70,-4.537754,120.220582,2.397386518,-0.903294082,2,0,1,0.251414205,0.772727273,0.996057483,0.995710339,0.792,0.78125,93.77231397,63
1275,SD NEGERI 117 LEPPANGENG,SD,Negeri,58,6,0,6,900,4626,70,-4.805653,119.888754,-1.590031522,0.048497204,2,0,1,0.03645506,0.931818182,0.995100137,0.997164461,0.952,1,93.69528158,64
1123,SD NEGERI 23 JEPPEE,SD,Negeri,321,19,3,13,3500,4487,71,-4.854095,119.937513,0.74385211,-0.436112041,2,0,0.956521739,0.201759899,0.852272727,0.995248488,0.987712665,0.848,0.90625,93.68579068,65
1409,SD NEGERI 166 TURUCINNAE,SD,Negeri,92,7,3,6,900,3962,70,-4.482708,119.916144,-0.97969124,-0.124678993,2,0,1,0.057825267,0.931818182,0.995808808,0.997164461,0.944,0.90625,93.678571,66
5343,UPT SD NEGERI 184 INPRES BODDIA,SD,Negeri,110,8,3,7,3500,2339,70,-5.459145,119.501229,-0.787904829,-0.11244845,2,0,1,0.069138906,0.920454545,0.997540997,0.987712665,0.936,0.90625,93.63583691,67
4858,SD Neg No 15 Kambuno,SD,Negeri,138,8,3,9,2200,2462,70,-5.117685,120.251513,-0.575286278,-0.182257291,2,0,1,0.086737901,0.897727273,0.997409722,0.992438563,0.936,0.90625,93.62384251,68
597,SD NEGERI 46 KADANGKUNYI,SD,Negeri,125,14,2,8,900,637,70,-5.509783,119.961928,-0.580461223,-0.215899815,2,0,1,0.078566939,0.909090909,0.9993575,0.997164461,0.888,0.9375,93.61270497,69
1070,SD INPRES 5/81 LAMPOKO,SD,Negeri,77,7,2,6,1300,1554,70,-4.538506,120.216391,-1.175306021,-0.067155616,2,0,1,0.048397234,0.931818182,0.998378808,0.995710339,0.944,0.9375,93.60571963,70
2226,SD INPRES TABUAKKANG,SD,Negeri,166,7,2,6,1300,3281,71,-5.433084,119.97494,-0.995079992,-0.454191595,2,0,0.956521739,0.104336895,0.931818182,0.996535623,0.995710339,0.944,0.9375,93.60557806,71
2853,SD NEGERI 437 KARIAKO,SD,Negeri,111,9,2,8,900,1572,70,-2.721247,121.225349,-0.846572852,-0.145320074,2,0,1,0.069767442,0.909090909,0.998359597,0.997164461,0.928,0.9375,93.57532792,72
