No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur
955,SD NEGERI 63 AJJALIRENG,SD,Negeri,96,8,2,5,5500,3116,89,455357,1202184
956,SD NEGERI 64 LAPPAE,SD,Negeri,91,6,2,6,5500,3550,71,455364,120229116
957,SD NEGERI 65 SIJELLING,SD,Negeri,49,8,2,5,5500,3105,78,4547473,120228655
958,SD NEGERI 66 SIJELLING,SD,Negeri,84,5,3,7,3500,3786,88,4538914,120214788
959,SD NEGERI 67 WAJI,SD,Negeri,84,7,1,6,5500,2654,70,4540261,120217501
960,SD NEGERI 68 LEA,SD,Negeri,110,7,2,8,1300,1533,94,4541352,120216159
961,SD NEGERI 69 ITTERUNG,SD,Negeri,112,7,2,7,1300,5000,76,4542537,120214479
962,SD NEGERI 70 LAMURUKUNG,SD,Negeri,160,7,4,7,3500,3256,86,4541181,120218601
963,SD NEGERI 71 LAMURUKUNG,SD,Negeri,151,5,4,7,2200,3508,86,4544678,12021644
964,SD NEGERI 72 LAMURUKUNG,SD,Negeri,116,7,3,7,3500,3979,91,4556151,120229724
965,SD NEGERI 73 MATTOANGING,SD,Negeri,84,6,3,7,1300,4448,75,454038,120222975
966,SD INPRES 10/73 PADAELO,SD,Negeri,133,10,3,10,3500,3396,94,4543927,120220238
967,SD INPRES 12/79 BATUGADING,SD,Negeri,154,9,3,9,2200,3241,72,454724,120229259
968,SD INPRES 12/79 KARELLA,SD,Negeri,116,8,4,7,900,750,80,4550209,120211469
969,SD INPRES 12/79 LAKUKANG,SD,Negeri,85,10,2,7,900,4227,86,4543832,12021142
970,SD INPRES 12/79 LAPPA UPANG,SD,Negeri,165,8,3,7,2200,1195,78,4539501,12023018
971,SD INPRES 12/79 MATTAMPAWALIE,SD,Negeri,80,9,2,7,2200,1420,80,4543434,120224675
972,SD INPRES 3/77 DATA,SD,Negeri,94,8,3,7,5500,2982,71,4546759,12021845
973,SD INPRES 3/77 PATTIRO,SD,Negeri,78,8,2,7,3500,1528,82,4550916,120224196
974,SD INPRES 3/77 TELLONGENG,SD,Negeri,62,8,3,7,1300,3547,85,4543161,120228202
975,SD INPRES 5/81 KADAI,SD,Negeri,44,8,4,7,5500,2558,80,45495,120219435
976,SD INPRES 5/81 MATTIRO WALIE,SD,Negeri,96,8,2,7,5500,4287,93,4547672,120216499
977,SD INPRES 5/81 SUMALING,SD,Negeri,72,7,1,7,3500,3884,83,4555983,120226885
978,SD INPRES 6/75 TELLU BOCCOE,SD,Negeri,96,8,2,7,3500,2030,97,4548662,120230804
979,SD INPRES 6/75 UJUNG TANAH,SD,Negeri,52,8,3,6,5500,859,98,4536991,120222829
980,SD INPRES 6/80 UJUNG TANAH,SD,Negeri,73,10,4,7,1300,2566,72,4546296,120223502
